id,restaurant,review,reviewer,rating
1,Mario's Bistro,"OMG this little Italian place is a hidden gem! 😍 Went there last night with my boyfriend and we sat on their adorable outdoor patio with all the string lights - so romantic! The pasta was absolutely incredible and authentic, reminded me of my trip to Italy. Best part? Our whole meal including wine was only $28! I couldn't believe how affordable it was for such amazing Italian food. They only take cash but there's an ATM next door. Definitely coming back!",Sarah M.,5
2,Sakura Sushi,"Finally found a sushi place that caters to vegetarians! They have this amazing tempura vegetable roll and an avocado-cucumber creation that was surprisingly filling. My friends and I came here after a late movie (they're open until 2am on weekends which is clutch) and the atmosphere was perfect - modern and clean but not pretentious. The chef even made us a custom veggie roll when we asked. Prices are reasonable too, around $25 per person.",Alex T.,4
3,Code & Coffee,"As a freelance developer, I'm always hunting for good work spots and Code & Coffee is PERFECT. The wifi is blazing fast (tested at 100+ Mbps), they have dedicated quiet zones with super comfortable chairs and tons of outlets. There's even a separate floor upstairs that's completely silent for deep work sessions. The coffee is exceptional too - single origin beans that actually taste different from the usual coffee shop burnt stuff. Been coming here daily for 3 months and it's become my office.",DevMike,5
4,Le Bernardin SF,"Look, I'm not gonna lie - this place is EXPENSIVE. Like, really expensive. We paid $220 per person for the tasting menu. But holy shit, it was worth every single penny. I've never experienced food like this in my life. Each dish was like a work of art that somehow tasted even better than it looked. The service was flawless, they anticipated our needs before we even knew what we needed. Yes it's a splurge, but for a once-in-a-lifetime dining experience, I'd do it again in a heartbeat. Book months ahead though!",FoodieJen,5
5,Tony's Italian Kitchen,"Wanted to take my wife somewhere nice for our anniversary and Tony's looked perfect online. The food was genuinely excellent - authentic Italian with a great wine list. The ambiance inside is romantic with candlelit tables and white tablecloths. However, it's pretty pricey (entrees start around $40) and we were disappointed they don't have any outdoor seating. Would have been perfect for the nice weather we had. Also they close at 9pm sharp which felt rushed. Good food but not our new favorite.",James R.,3
6,Starbucks Downtown,"Don't even think about trying to work from this Starbucks location. Yes they have wifi but it's absolutely chaos in there - business meetings, loud phone calls, baristas calling out orders every 2 seconds. I tried to get some coding done and lasted maybe 20 minutes before the noise drove me insane. Tables are always taken and when you do get one, someone's hovering waiting for you to leave. Just get your coffee to go and find literally anywhere else to work.",Lisa K.,2
7,Giuseppe's Pizza,"Brought the whole family here for my son's birthday - 8 people total. This place is perfect for big groups! They have these outdoor picnic tables that fit everyone comfortably. The pizza portions are MASSIVE (we ordered 3 pizzas and had leftovers for days) and incredibly cheap - fed all 8 of us for under $50! The atmosphere is lively and loud in a good way, kids were running around and nobody cared. It's not fancy Italian but it's authentic family-style fun. No reservations needed which is great for spontaneous gatherings.",Mom of 3,4
8,Neko Sushi,"This is hands down the most exclusive sushi experience in the city. $150 per person minimum, only 8 seats at the counter, and you have to book weeks in advance. But if you're a serious sushi lover, it's incredible. The chef chooses everything (omakase style) and each piece is perfection. Warning though - they have absolutely ZERO vegetarian options. Like, don't even ask. It's traditional fish and seafood only. My vegetarian friend had to sit there and watch us eat, felt terrible. If you eat fish and have money to burn, it's amazing. Otherwise skip it.",Sushi_Master99,4
9,Brew & Bytes,What a disappointment! Saw their signs about being 'laptop friendly' so I came to work on a project deadline. BIGGEST MISTAKE. The wifi kept cutting out every 10-15 minutes - I lost work multiple times. The chairs are these cheap plastic things that hurt your back after 30 minutes. And get this - they put the espresso machine RIGHT next to the 'work area' so there's constant loud grinding and steaming. Asked the barista about the wifi issues and he just shrugged. Save yourself the frustration and go literally anywhere else.,FrustratedFreelancer,1
10,Green Tea House,"If you're looking for a peaceful escape from the city chaos, this is your spot. It's incredibly quiet and zen-like, perfect for reading or having deep conversations. They have an amazing selection of premium teas and the vegetarian dim sum is surprisingly good. Only downside is they don't have wifi (it's intentional to keep the atmosphere peaceful) so don't come here to work. Also they close at 6pm which is pretty early. But for a relaxing afternoon with a book and good tea, it's perfect.",ZenSeeker,4
11,Chez Laurent,"Came here for our 10th wedding anniversary hoping for a romantic French dinner. The outdoor sidewalk seating was charming and very European, and the food was authentically French and delicious. But wow, prepare your wallet - most entrees are $35+ and with wine and appetizers we spent over $120 for two people. The atmosphere is definitely romantic but unless you're celebrating something major, it's hard to justify the price. Service was excellent though and the wine selection is impressive.",Anniversary_Couple,3
12,Family Garden,"This place is a godsend for parents! The booths are huge and comfortable, perfect for our family of 5. They have a great kids menu but also tons of healthy options for the adults - I got this amazing quinoa bowl with grilled salmon. My husband had the organic salad and actually enjoyed it (miracle!). Best part is the big parking lot so you don't have to walk 6 blocks with cranky kids. The atmosphere is casual and family-friendly, nobody judged when our toddler had a meltdown. Will definitely be back!",Busy_Mom,5
