id,restaurant,review,reviewer,rating,query_category
1,BoardRoom Bistro,"Perfect spot for corporate dining with sensitive discussions. The private booths with high backs ensure conversations stay confidential - I've closed three major deals here without worrying about eavesdropping. Their vegetarian menu is surprisingly extensive with gourmet options that don't feel like an afterthought. Most importantly for expense accounts, the business lunch special keeps everything under $35 per person including appetizer and coffee.",BusinessTraveler,5,multi_constraint
2,Family Zone Pizza,"Brought my 6-year-old twins here after their soccer game - they were absolutely wired. Thankfully, this place is designed for it. The main dining room has high ceilings that absorb sound, plus they seat families with young kids in a separate section that's naturally louder. Other parents were dealing with the same energy levels, so nobody minded when my son got excited about his dinosaur chicken nuggets.",SoccerMom,4,contextual_inference
3,Carnivore's Corner,"Ideal first date spot if you both eat meat - their specialty is the shared meat and cheese boards that encourage conversation and interaction. However, vegetarians would be disappointed as there's literally one veggie option (a sad-looking pasta). The intimate lighting and conversation-friendly acoustics make it perfect for getting to know someone, but only take a date here if you know they're not vegetarian.",DateNight_Expert,4,conditional_logic
4,Bella Vista (Under New Management),"This place used to be our go-to spot - we've been coming here for five years. But something changed after they got new management six months ago. The original chef left, and you can tell. The signature dishes that made this place special just aren't the same. The service has gotten slower, and they've cut corners on ingredients. Really disappointed because this was where my husband proposed, but I can't recommend it anymore.",LongTimeCustomer,2,temporal_reasoning
5,Intimate Eats,"Fair warning: this is NOT a place for groups larger than 4. They specifically told our party of 8 that they couldn't accommodate us, even with a reservation. It's intentionally designed as an intimate spot with small tables and close quarters. Perfect for couples or small friend groups, but definitely call ahead if you're more than 4 people - they'll likely turn you away.",GroupPlanner,3,negation_exclusion
6,Hidden Gem Pizza,"Everyone goes to Tony's Famous Pizza down the street, but honestly, this place is better and half the price. Tony's trades on reputation, but their quality has slipped. Here, the crust is actually crispier, they use better cheese, and you're not paying the 'famous name' premium. Been to both multiple times - this is the local secret that beats the tourist trap.",LocalFoodie,5,comparative_reasoning
7,Strip Mall Surprise,"Honestly, I wasn't expecting much from this strip mall location. It looked sketchy from the outside, and the interior is nothing special. But wow, was I wrong about the food. The chef clearly knows what they're doing - every dish was perfectly executed. Sometimes the best food comes from the most unexpected places. Don't judge this book by its cover.",SkepticalDiner,5,meta_reasoning
8,Laptop Cafe Haven,"Finally found the perfect work cafe! They have a designated 'laptop friendly' section with power outlets at every table, strong WiFi (tested at 150+ Mbps), and most importantly - a noise policy that keeps phone calls to the entrance area only. The coffee is excellent, food is reasonably priced, and they don't pressure you to leave after an hour like most places. Been working here daily for 2 months.",DigitalNomad,5,multi_constraint
9,Senior Discount Diner,"This place clearly caters to seniors - early bird specials start at 4 PM, larger print menus, comfortable booth seating that's easy to get in and out of, and the staff is incredibly patient with elderly customers. My 85-year-old grandmother feels comfortable here, which is rare. The prices are very reasonable, and portions are perfect for smaller appetites. Not the hip spot for young people, but exactly what older diners need.",GrandsonCarer,4,contextual_inference
10,Weather-Dependent Terrace,"Amazing outdoor terrace dining, but ONLY when weather permits. On beautiful days, there's no better spot in the city - the view is spectacular and the ambiance is perfect. However, they don't have adequate heating for cool evenings, and forget about dining here if there's even a slight chance of rain (they close the terrace completely). The indoor dining is mediocre at best. This is a fair-weather restaurant only.",WeatherWatcher,3,conditional_logic
11,Trendy Spot Past Its Prime,"Two years ago, this was THE place to be - celebrities, influencers, impossible to get a table. But trends change fast in this city. Now it feels like they're trying too hard to recapture that magic. The food quality has dropped while prices stayed high. The 'exclusive' atmosphere now feels forced rather than natural. It's become a shadow of what it once was.",TrendFollower,2,temporal_reasoning
12,Adults Only Establishment,"This restaurant has a strict 21+ policy after 8 PM - NO exceptions, even for well-behaved teenagers with parents. They card everyone and will turn away families with anyone under 21. It's their thing - they want an adult atmosphere for evening dining. Great if you want dinner without kids running around, but don't bring your teenage daughter here for her birthday dinner.",AdultsOnlySeeker,4,negation_exclusion
13,Value King,"While everyone raves about the expensive steakhouse across town, this place serves better steaks at 60% of the price. Their dry-aged ribeye rivals anything at the high-end places, but you're paying $28 instead of $65. The atmosphere is more casual, sure, but the quality is superior. I've done side-by-side comparisons - this is where the smart money goes.",ValueHunter,5,comparative_reasoning
14,Redemption Story,"Had written this place off after a terrible experience last year - food poisoning, rude service, the works. But my friend insisted they'd completely turned things around, so I gave them another chance. What a transformation! New chef, retrained staff, updated menu. It's like a completely different restaurant. Sometimes places do learn from their mistakes.",SecondChancer,4,meta_reasoning
